         y,     x_in,    y_in,          x_corr,           y_corr
13170, 10000, 13170, 10932.5, 13624.2
13180, 10000, 13180, 10932.1, 13633.9
13190, 10000, 13190, 10931.8, 13643.7
13200, 10000, 13200, 10931.4, 13653.5
13210, 10000, 13210, 10931.1, 13663.2
13220, 10000, 13220, 10930.7, 13673
13230, 10000, 13230, 10930.4, 13682.8
13240, 10000, 13240, 10930, 13692.5
13250, 10000, 13250, 10929.7, 13702.3
13260, 10000, 13260, 10929.3, 13712.1
13270, 10000, 13270, 10929, 13721.9
13280, 10000, 13280, 10928.6, 13731.6
13290, 10000, 13290, 10928.3, 13741.4
13300, 10000, 13300, 10927.9, 13751.2
13310, 10000, 13310, 10927.6, 13760.9
13320, 10000, 13320, 10927.2, 13770.7
13330, 10000, 13330, 10926.9, 13780.5
13340, 10000, 13340, 10926.5, 13790.2
13350, 10000, 13350, 10926.2, 13800
13360, 10000, 13360, 10925.8, 13809.8
13370, 10000, 13370, 10925.5, 13819.5
13380, 10000, 13380, 10925.1, 13829.3
13390, 10000, 13390, 10924.8, 13839.1
13400, 10000, 13400, 10924.4, 13848.8
13410, 10000, 13410, 10924.1, 13858.6
13420, 10000, 13420, 10923.7, 13868.4
13430, 10000, 13430, 10923.4, 13878.1
13440, 10000, 13440, 10923, 13887.9
13450, 10000, 13450, 10922.7, 13897.7
13460, 10000, 13460, 10922.3, 13907.4
13470, 10000, 13470, 10922, 13917.2
13480, 10000, 13480, 10921.6, 13927
13490, 10000, 13490, 10921.3, 13936.8
13500, 10000, 13500, 10920.9, 13946.5
13510, 10000, 13510, 10920.6, 13956.3
13520, 10000, 13520, 10920.2, 13966.1
13530, 10000, 13530, 10919.9, 13975.8
13540, 10000, 13540, 10919.5, 13985.6
13550, 10000, 13550, 10919.2, 13995.4
13560, 10000, 13560, 10918.8, 14005.1
13570, 10000, 13570, 10918.5, 14014.9
13580, 10000, 13580, 10918.1, 14024.7
13590, 10000, 13590, 10917.8, 14034.4
13600, 10000, 13600, 10917.4, 14044.2
13610, 10000, 13610, 10917.1, 14054
13620, 10000, 13620, 10916.7, 14063.7
13630, 10000, 13630, 10916.4, 14073.5
13640, 10000, 13640, 10916, 14083.3
13650, 10000, 13650, 10915.7, 14093
13660, 10000, 13660, 10915.3, 14102.8
13670, 10000, 13670, 10915, 14112.6
13680, 10000, 13680, 10914.6, 14122.4
13690, 10000, 13690, 10914.3, 14132.1
13700, 10000, 13700, 10913.9, 14141.9
13710, 10000, 13710, 10913.6, 14151.7
13720, 10000, 13720, 10913.2, 14161.4
13730, 10000, 13730, 10912.9, 14171.2
13740, 10000, 13740, 10912.5, 14181
13750, 10000, 13750, 10912.2, 14190.7
13760, 10000, 13760, 10911.8, 14200.5
13770, 10000, 13770, 10911.5, 14210.3
13780, 10000, 13780, 10911.1, 14220
13790, 10000, 13790, 10910.8, 14229.8
13800, 10000, 13800, 10910.4, 14239.6
13810, 10000, 13810, 10910.1, 14249.3
13820, 10000, 13820, 10909.7, 14259.1
13830, 10000, 13830, 10909.4, 14268.9
13840, 10000, 13840, 10909, 14278.6
13850, 10000, 13850, 10908.7, 14288.4
13860, 10000, 13860, 10908.3, 14298.2
13870, 10000, 13870, 10908, 14307.9
13880, 10000, 13880, 10907.6, 14317.7
13890, 10000, 13890, 10907.3, 14327.5
13900, 10000, 13900, 10906.9, 14337.3
13910, 10000, 13910, 10906.6, 14347
13920, 10000, 13920, 10906.2, 14356.8
13930, 10000, 13930, 10905.9, 14366.6
13940, 10000, 13940, 10905.5, 14376.3
13950, 10000, 13950, 10905.2, 14386.1
13960, 10000, 13960, 10904.8, 14395.9
13970, 10000, 13970, 10904.5, 14405.6
13980, 10000, 13980, 10904.1, 14415.4
13990, 10000, 13990, 10903.8, 14425.2
14000, 10000, 14000, 10903.4, 14434.9
14010, 10000, 14010, 10903.1, 14444.7
14020, 10000, 14020, 10902.7, 14454.5
14030, 10000, 14030, 10902.4, 14464.2
14040, 10000, 14040, 10902, 14474
14050, 10000, 14050, 10901.7, 14483.8
14060, 10000, 14060, 10901.3, 14493.5
14070, 10000, 14070, 10901, 14503.3
14080, 10000, 14080, 10900.6, 14513.1
14090, 10000, 14090, 10900.3, 14522.8
14100, 10000, 14100, 10900, 14532.6
14110, 10000, 14110, 10899.6, 14542.4
14120, 10000, 14120, 10899.3, 14552.2
14130, 10000, 14130, 10898.9, 14561.9
14140, 10000, 14140, 10898.6, 14571.7
14150, 10000, 14150, 10898.2, 14581.5
14160, 10000, 14160, 10897.9, 14591.2
14170, 10000, 14170, 10897.5, 14601
14180, 10000, 14180, 10897.2, 14610.8
14190, 10000, 14190, 10896.8, 14620.5
14200, 10000, 14200, 10896.5, 14630.3
14210, 10000, 14210, 10896.1, 14640.1
14220, 10000, 14220, 10895.8, 14649.8
14230, 10000, 14230, 10895.4, 14659.6
14240, 10000, 14240, 10895.1, 14669.4
14250, 10000, 14250, 10894.7, 14679.1
14260, 10000, 14260, 10894.4, 14688.9
14270, 10000, 14270, 10894, 14698.7
14280, 10000, 14280, 10893.7, 14708.4
14290, 10000, 14290, 10893.3, 14718.2
14300, 10000, 14300, 10893, 14728
14310, 10000, 14310, 10892.6, 14737.7
14320, 10000, 14320, 10892.3, 14747.5
14330, 10000, 14330, 10891.9, 14757.3
14340, 10000, 14340, 10891.6, 14767.1
14350, 10000, 14350, 10891.2, 14776.8
14360, 10000, 14360, 10890.9, 14786.6
14370, 10000, 14370, 10890.5, 14796.4
14380, 10000, 14380, 10890.2, 14806.1
14390, 10000, 14390, 10889.8, 14815.9
14400, 10000, 14400, 10889.5, 14825.7
14410, 10000, 14410, 10889.1, 14835.4
14420, 10000, 14420, 10888.8, 14845.2
14430, 10000, 14430, 10888.4, 14855
14440, 10000, 14440, 10888.1, 14864.7
14450, 10000, 14450, 10887.7, 14874.5
14460, 10000, 14460, 10887.4, 14884.3
14470, 10000, 14470, 10887, 14894
14480, 10000, 14480, 10886.7, 14903.8
14490, 10000, 14490, 10886.3, 14913.6
14500, 10000, 14500, 10886, 14923.3
14510, 10000, 14510, 10885.6, 14933.1
14520, 10000, 14520, 10885.3, 14942.9
14530, 10000, 14530, 10884.9, 14952.7
14540, 10000, 14540, 10884.6, 14962.4
14550, 10000, 14550, 10884.2, 14972.2
14560, 10000, 14560, 10883.9, 14982
14570, 10000, 14570, 10883.5, 14991.7
